Season,Player,PlayerId,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Year,key_id,All_NBA_Team,All_NBA_Flag,All_NBA_Pos,Team30,Win_Prop
1988-89,Kareem Abdul-Jabbar,abdulka01,C,41,LAL,74,74,1695,8.9,18.6,0.475,0.0,0.1,0.0,8.9,18.6,0.47700000000000004,3.5,4.7,0.7390000000000001,2.9,6.5,9.4,2.1,1.1,2.4,2.7,5.5,21.2,104.0,107.0,1989,Kareem Abdul-Jabbar-1989,0.0,Not Selected,Center,LAL,0.055609756097560976
1988-89,Mark Acres,acresma01,C,26,BOS,62,0,632,4.3,8.8,0.48200000000000004,0.1,0.1,1.0,4.2,8.7,0.478,2.0,3.7,0.542,4.6,6.7,11.3,1.5,1.5,0.5,1.8,7.3,10.6,108.0,110.0,1989,Mark Acres-1989,0.0,Not Selected,Center,BOS,0.04097560975609756
1988-89,Michael Adams,adamsmi01,PG,26,DEN,77,77,2787,7.5,17.3,0.433,2.7,7.5,0.35600000000000004,4.8,9.9,0.49,5.2,6.3,0.8190000000000001,1.1,3.4,4.5,7.8,2.7,0.2,2.9,2.4,22.8,115.0,108.0,1989,Michael Adams-1989,0.0,Not Selected,Guard,DEN,0.042926829268292686
1988-89,Mark Aguirre,aguirma01,SF,29,TOT,80,76,2597,11.3,24.5,0.461,1.0,3.4,0.293,10.3,21.2,0.488,5.6,7.6,0.733,2.8,4.6,7.5,5.4,0.9,0.7,4.0,4.4,29.2,105.0,110.0,1989,Mark Aguirre-1989,0.0,Not Selected,Forward,TOT,0.03333333333333334
1988-89,Danny Ainge,aingeda01,PG,29,TOT,73,54,2377,9.8,21.4,0.457,2.4,6.2,0.38,7.4,15.2,0.488,4.2,4.9,0.8540000000000001,1.4,3.7,5.2,8.2,1.9,0.2,3.0,3.8,26.1,116.0,111.0,1989,Danny Ainge-1989,0.0,Not Selected,Guard,TOT,0.03333333333333334
1988-89,Mark Alarie,alarima01,PF,25,WSB,74,5,1141,8.6,18.0,0.478,0.5,1.6,0.342,8.1,16.4,0.491,3.0,3.6,0.8390000000000001,4.3,6.3,10.6,2.6,1.0,0.9,2.6,6.7,20.8,109.0,109.0,1989,Mark Alarie-1989,0.0,Not Selected,Forward,WAS,0.03902439024390244
1988-89,Steve Alford,alforst01,PG,24,TOT,66,3,906,7.3,16.1,0.457,1.0,2.7,0.364,6.3,13.3,0.47600000000000003,2.5,3.0,0.82,0.5,3.1,3.6,4.6,2.2,0.1,2.2,2.8,18.2,107.0,110.0,1989,Steve Alford-1989,0.0,Not Selected,Guard,TOT,0.03333333333333334
1988-89,Randy Allen,allenra01,SG,24,SAC,7,0,43,8.9,21.1,0.42100000000000004,0.0,1.1,0.0,8.9,20.0,0.444,1.1,2.2,0.5,3.3,4.4,7.8,0.0,1.1,1.1,2.2,7.8,18.9,88.0,112.0,1989,Randy Allen-1989,0.0,Not Selected,Guard,SAC,0.026341463414634145
1988-89,Greg Anderson,andergr01,PF,24,SAS,82,56,2401,8.8,17.5,0.503,0.0,0.1,0.0,8.8,17.5,0.505,4.0,7.7,0.514,4.9,8.1,13.0,1.2,2.0,2.0,3.5,4.2,21.6,100.0,106.0,1989,Greg Anderson-1989,0.0,Not Selected,Forward,SAS,0.02048780487804878
1988-89,Michael Anderson,andermi01,PG,22,SAS,36,12,730,4.6,11.0,0.41700000000000004,0.1,0.4,0.14300000000000002,4.5,10.6,0.429,3.6,5.2,0.695,2.8,2.8,5.6,9.7,2.8,0.2,5.3,4.0,12.9,93.0,109.0,1989,Michael Anderson-1989,0.0,Not Selected,Guard,SAS,0.02048780487804878
1988-89,Richard Anderson,anderri01,PF,28,POR,72,3,1082,6.2,14.9,0.41700000000000004,2.1,6.0,0.348,4.1,8.8,0.46399999999999997,1.4,1.6,0.8420000000000001,2.6,7.2,9.9,4.2,1.9,0.5,2.3,4.3,15.8,109.0,107.0,1989,Richard Anderson-1989,0.0,Not Selected,Forward,POR,0.03804878048780488
1988-89,Ron Anderson,anderro01,SF,30,PHI,82,12,2618,10.5,21.4,0.491,0.0,0.2,0.182,10.5,21.2,0.494,3.6,4.3,0.856,3.1,4.4,7.6,2.6,1.3,0.4,2.3,3.1,24.7,110.0,114.0,1989,Ron Anderson-1989,0.0,Not Selected,Forward,PHI,0.0448780487804878
1988-89,Willie Anderson,anderwi01,SF,22,SAS,81,79,2738,10.8,21.6,0.498,0.1,0.4,0.19,10.7,21.3,0.503,3.8,4.9,0.775,2.6,4.5,7.0,6.3,2.5,1.0,4.4,5.0,25.4,105.0,108.0,1989,Willie Anderson-1989,0.0,Not Selected,Forward,SAS,0.02048780487804878
1988-89,John Bagley,baglejo01,PG,28,NJN,68,20,1642,5.8,14.0,0.41600000000000004,0.3,1.6,0.204,5.5,12.5,0.44299999999999995,2.6,3.6,0.7240000000000001,1.1,3.2,4.2,11.4,2.1,0.1,4.6,3.4,14.6,96.0,111.0,1989,John Bagley-1989,0.0,Not Selected,Guard,BRK,0.025365853658536587
1988-89,Thurl Bailey,baileth01,SF,27,UTA,82,3,2777,10.9,22.4,0.483,0.0,0.1,0.4,10.8,22.4,0.484,6.4,7.8,0.825,2.0,5.9,7.9,2.4,0.8,1.6,3.7,3.3,28.1,105.0,104.0,1989,Thurl Bailey-1989,0.0,Not Selected,Forward,UTA,0.04975609756097561
1988-89,Greg Ballard,ballagr01,SF,34,SEA,2,0,15,3.2,25.6,0.125,0.0,3.2,0.0,3.2,22.4,0.14300000000000002,12.8,12.8,1.0,6.4,16.0,22.4,0.0,0.0,0.0,0.0,9.6,19.2,93.0,106.0,1989,Greg Ballard-1989,0.0,Not Selected,Forward,OKC,0.045853658536585365
