Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,All_NBA_Pos,Win_Prop
Steven Adams,C,26,OKC,58,58,1564,8.2,13.8,0.591,0.0,0.1,0.33299999999999996,8.1,13.7,0.593,3.4,5.7,0.59,6.1,10.8,16.9,4.4,1.6,2.0,2.7,3.5,19.7,123.0,106,Center,0.0411946446961895
Bam Adebayo,PF,22,MIA,65,65,2235,8.9,15.7,0.5670000000000001,0.0,0.3,0.077,8.9,15.5,0.5760000000000001,5.2,7.5,0.69,3.6,11.3,15.0,7.3,1.7,1.9,4.0,3.6,23.1,117.0,106,Forward,0.042224510813594233
LaMarcus Aldridge,C,34,SAS,53,53,1754,10.7,21.7,0.493,1.7,4.3,0.389,9.0,17.4,0.519,4.3,5.2,0.8270000000000001,2.8,7.9,10.7,3.5,1.0,2.4,2.0,3.5,27.4,115.0,113,Center,0.027806385169927908
Nickeil Alexander-Walker,SG,21,NOP,41,0,501,7.1,20.9,0.33899999999999997,3.7,10.8,0.342,3.4,10.1,0.336,1.6,2.6,0.607,0.7,6.6,7.4,6.8,1.0,0.6,3.7,4.2,19.5,91.0,113,Guard,0.028836251287332648
Grayson Allen,SG,24,MEM,30,0,498,7.4,16.5,0.449,3.1,8.5,0.363,4.3,8.0,0.541,2.8,3.3,0.857,0.5,5.7,6.2,4.0,0.6,0.1,2.2,3.4,20.7,111.0,115,Guard,0.032955715756951595
Jarrett Allen,C,21,BRK,64,58,1647,7.7,11.9,0.6459999999999999,0.0,0.1,0.0,7.7,11.8,0.654,4.2,6.8,0.62,5.6,11.8,17.4,2.4,1.1,2.4,2.1,4.1,19.6,130.0,105,Center,0.030895983522142123
Kadeem Allen,SG,27,NYK,10,0,117,7.9,18.3,0.43200000000000005,2.1,6.7,0.313,5.8,11.7,0.5,2.9,4.6,0.636,0.8,2.9,3.7,8.7,2.1,0.8,3.3,2.9,20.8,106.0,114,Guard,0.021627188465499485
Al-Farouq Aminu,PF,29,ORL,18,2,380,3.2,11.0,0.29100000000000004,1.2,4.6,0.25,2.1,6.4,0.32,2.4,3.7,0.655,3.1,8.1,11.2,2.7,2.3,1.0,2.2,3.5,10.0,88.0,107,Forward,0.030895983522142123
Justin Anderson,SF,26,BRK,3,0,17,2.8,16.7,0.16699999999999998,0.0,8.4,0.0,2.8,8.4,0.33299999999999996,2.8,5.6,0.5,0.0,5.6,5.6,0.0,0.0,2.8,0.0,5.6,8.4,50.0,110,Forward,0.030895983522142123
Kyle Anderson,PF,26,MEM,59,20,1140,5.7,11.5,0.493,0.7,2.5,0.258,5.0,8.9,0.56,1.8,2.7,0.652,2.2,8.3,10.5,5.4,1.9,1.3,2.3,3.5,13.7,111.0,109,Forward,0.032955715756951595
